sensor,coefficient
108,-0.45206406700364604
143,-0.4513245972167139
524,0.4413655126614231
355,0.43833160067782495
127,-0.4370050812277165
473,0.4341567888841839
177,-0.4302224746047361
553,-0.42958385308134817
145,-0.42903054089293663
421,-0.42868979235717647
47,0.4220213887006357
213,0.41940082577689797
407,-0.4173601474261181
153,-0.4167377971841305
165,-0.4126387185847751
102,-0.4118688370807554
551,0.4114095650421821
9,-0.3962508450216625
468,-0.39594148269367796
338,-0.3958406638645182
571,-0.39523434665327145
286,-0.39309303743891155
426,-0.39208473081253264
306,0.3920434077756196
525,-0.3858871788076824
0,-0.3843040388619598
148,-0.3826945888210192
320,-0.38267365568422423
58,0.38101842034347766
334,-0.38052885834449685
441,0.3725793829804212
564,0.37119014744733375
268,-0.3690258891824647
455,0.3646039215831166
182,-0.36308761931375305
409,-0.3622006313592567
294,0.36109799021722816
540,-0.35956497425983475
147,0.3543799746762608
70,-0.3535935972230911
324,-0.3533460139865695
558,-0.35126261661139174
424,-0.3487279584110875
120,-0.348095291144032
227,-0.34750748287899125
253,-0.34711282334399307
55,0.3396021886164115
575,0.338790330046731
430,0.3383975852959289
495,-0.33509782135502053
128,-0.3347732252985163
159,0.3339686246508679
549,-0.3318515950305057
81,0.3316451048845824
341,0.32908754099332255
298,-0.3271676190511123
166,-0.3270586363124186
352,-0.32392626957477705
431,0.32343025257628366
170,0.3215781384131404
88,-0.318827386201159
19,0.31423070398245584
521,-0.3118111421920537
565,0.31103652110310936
174,0.30829595393239906
484,-0.3082027864467879
172,0.3057637817131501
83,0.3016438219473757
24,-0.30075957470183623
224,-0.2992065439488503
554,0.29893355246142767
420,0.29837951271132745
417,-0.29807932086280453
459,0.2975952876766742
80,-0.29673166733710515
445,0.29558264992462274
440,-0.29544452982286734
23,0.2952367039720291
343,-0.2951658994493492
443,0.2949296875500243
568,0.2949029354959229
323,0.29259728696257353
150,0.28962955078652475
561,0.2894527755244174
297,0.2894147652057062
183,0.2885546300270703
304,-0.28283382069579643
411,0.2826114438972623
474,0.2808487353567467
103,0.2798909598831564
480,-0.27866214594936645
223,-0.27834823718432256
36,0.27574095090917666
34,-0.2757041610851209
212,-0.2753108656631936
556,-0.2726870372285606
489,0.27260217990175445
210,-0.2694814381877198
408,0.26529100172895076
195,0.26298677557152883
432,-0.262406499728301
290,-0.25847152839354964
136,-0.25572032444821485
239,0.2533723886005611
475,0.2530099342464367
543,-0.24950385359770252
250,-0.2467794341560342
569,-0.24443680422812147
187,0.2440291180831416
317,-0.24332558161629583
219,-0.2433053615057557
485,-0.24227954910990543
582,0.24182498742926836
274,0.24142003999504247
54,-0.2386278781703639
544,-0.2385562206492697
467,0.2361796067152362
247,0.22942903289893604
550,-0.2277969148696681
367,0.2267891173048901
416,-0.2204721394009163
90,0.22010149928775014
160,0.2194479722574459
300,-0.2137042984036344
39,0.21224851966911354
319,0.21165132006455006
405,-0.21049124777740358
321,-0.2094270724497914
376,0.20838688304473096
18,-0.20809499802590956
490,-0.20771713741256836
353,0.20718199900222928
163,-0.2032890990266804
460,0.20290640807130816
32,0.2026487277632847
457,0.20190587288550096
584,0.20117265129221643
572,0.20060665174050238
184,0.20026985407207554
483,0.19714028371677467
91,-0.1967365189898572
116,-0.19270961648482776
3,0.19190948286879364
439,-0.1918609236411582
427,-0.19123461616714124
522,0.19085715923353055
308,-0.18989271249217612
123,0.18933066550803732
8,-0.18598878677372535
7,0.18579563680125152
76,0.1812052392630373
203,0.1810621933403223
335,-0.18100357566016387
269,0.18051750577147613
331,0.18033532575362968
350,-0.1787826394466941
211,0.17833049932436054
15,0.17728498744892093
112,0.17696233320820295
279,0.17600713312441368
154,-0.17579819217657122
307,0.1729379099697787
309,0.17212670133617022
199,0.17090289040109913
442,-0.1685973906981343
546,0.166939830164006
288,-0.1667909904074464
586,-0.16556218018010507
218,-0.16551095684714998
255,0.16538175022827475
173,-0.16389506290610772
552,0.16291183744040683
527,0.16016568113747343
180,0.1587820288631483
228,0.15786515538813753
50,0.15400489974474274
238,-0.15361077958608366
436,-0.15289688467122922
412,0.14889410684014617
336,-0.14851783373424604
135,0.14503630304968262
16,0.13972725526007215
38,-0.13933790254313932
385,-0.1391859829409409
583,0.1377945692957275
217,-0.13653925488982332
169,-0.13640552626755922
208,0.13162263415024206
254,-0.12927208937753226
6,0.12864403527566245
452,0.12792795013198732
285,0.12638040473996234
526,-0.125113931868716
287,-0.11796639405867823
362,-0.11549580383195293
114,0.11532444500582588
51,-0.11325947110921157
494,-0.10870570594693692
339,-0.1084250029266407
273,-0.10512445618033454
